Subject;Nativeness;Narrative;Reference;Accessibility_Rating;Referent_Name;Discourse;RE
2;1;1;1;0;Wood;Introduction;SASS - Tracing
2;1;1;2;0;Tom;Introduction;Body part CL
2;1;1;3;4;Tom;Maintenance;Constructed action
2;1;1;4;-2;Jerry;Introduction;Bare noun
2;1;1;5;4;Jerry;Maintenance;Whole entity CL
2;1;1;6;2;Tom;Re-introduction;Whole entity CL
2;1;1;7;4;Tom;Maintenance;Whole entity CL
2;1;1;8;4;Tom;Maintenance;Whole entity CL
2;1;1;9;5;Tom;Maintenance;Constructed action
2;1;1;10;5;Tom;Maintenance;Plain verb
2;1;1;11;5;Tom;Maintenance;Constructed action
2;1;1;12;5;Tom;Maintenance;Plain verb
2;1;1;13;5;Tom;Maintenance;Constructed action
2;1;1;14;1;Jerry;Re-introduction;Bare noun
2;1;1;15;3;Tom;Re-introduction;Bare noun
2;1;1;16;5;Tom;Maintenance;Body part CL
2;1;1;17;5;Tom;Maintenance;Plain verb
2;1;1;18;5;Tom;Maintenance;Body part CL
2;1;10;1;1;Jerry;Introduction;Bare noun
2;1;10;2;0;Tom;Introduction;Bare noun
2;1;10;3;4;Tom;Maintenance;Bare noun
2;1;10;4;4;Tom;Maintenance;Bare noun
2;1;10;5;5;Tom;Maintenance;Constructed action
2;1;10;6;1;Jerry;Re-introduction;Bare noun
2;1;10;7;3;Tom;Re-introduction;Constructed action
2;1;10;8;2;Jerry;Re-introduction;Bare noun
2;1;10;9;4;Jerry;Maintenance;Plain verb
2;1;10;10;2;Tom;Re-introduction;Constructed action
2;1;10;11;4;Tom;Maintenance;Constructed action
2;1;10;12;4;Tom;Maintenance;Person agreement verb
2;1;10;13;5;Tom;Maintenance;Constructed action
2;1;10;14;5;Tom;Maintenance;Person agreement verb
2;1;5;1;1;Tom;Introduction;Bare noun
2;1;5;2;4;Tom;Maintenance;Constructed action
2;1;5;3;4;Tom;Maintenance;Body part CL
2;1;5;4;5;Tom;Maintenance;Constructed action
2;1;5;5;-1;Couch;Introduction;Bare noun
2;1;5;6;-2;Rope;Introduction;Bare noun
2;1;5;7;2;Tom;Maintenance;Constructed action
2;1;5;8;4;Tom;Maintenance;Constructed action
2;1;5;9;-1;Jerry;Introduction;Bare noun
2;1;5;10;2;Tom;Re-introduction;Constructed action
2;1;5;11;2;Jerry;Re-introduction;Bare noun
2;1;5;12;4;Jerry;Maintenance;Constructed action
2;1;5;13;1;Rope;Re-introduction;Bare noun
2;1;5;14;2;Jerry;Re-introduction;Whole entity CL
2;1;5;15;0;Tom;Re-introduction;Bare noun
2;1;5;16;4;Tom;Maintenance;Body part CL
2;1;6;17;-1;Trap;Introduction;Bare noun
2;1;6;19;4;Trap;Maintenance;Person agreement verb
2;1;6;20;2;Tom;Re-introduction;Plain verb
2;1;6;1;1;Jerry;Introduction;Bare noun
2;1;6;2;4;Jerry;Maintenance;Plain verb
2;1;6;3;1;Tom;Introduction;Bare noun
2;1;6;4;4;Tom;Maintenance;Constructed action
2;1;6;5;2;Jerry;Re-introduction;Plain verb
2;1;6;6;2;Tom;Re-introduction;Constructed action
2;1;6;7;5;Tom;Maintenance;Constructed action
2;1;6;8;5;Tom;Maintenance;Plain verb
2;1;6;9;5;Tom;Maintenance;Plain verb
2;1;6;10;-1;Cabinet;Introduction;Bare noun
2;1;6;11;3;Tom;Re-introduction;Constructed action
2;1;6;12;-2;Window;Introduction;Bare noun
2;1;6;13;2;Tom;Re-introduction;Bare noun
2;1;6;14;4;Tom;Maintenance;Person agreement verb
2;1;6;15;1;Jerry;Re-introduction;Noun CL
2;1;6;16;4;Jerry;Maintenance;Person agreement verb
2;1;2;1;0;White cat;Introduction;Bare noun
2;1;2;2;0;Tom;Introduction;Bare noun
2;1;2;3;4;Tom;Maintenance;Constructed action
2;1;2;4;4;Tom;Maintenance;Constructed action
2;1;2;5;5;Tom;Maintenance;Plain verb
2;1;2;6;-1;Fish;Introduction;Bare noun
2;1;2;7;-2;Aquarium;Introduction;Bare noun
2;1;2;8;2;Tom;Maintenance;Constructed action
2;1;2;9;0;White cat;Re-introduction;Bare noun
2;1;2;10;2;Tom;Re-introduction;Whole entity CL
2;1;2;11;-2;Bird;Introduction;Bare noun
2;1;2;12;2;Tom;Re-introduction;Constructed action
2;1;2;13;1;White cat;Re-introduction;Bare noun
2;1;2;14;2;Tom;Re-introduction;Constructed action
2;1;2;15;4;Tom;Maintenance;Body part CL
2;1;2;16;5;Tom;Maintenance;Constructed action
2;1;3;1;0;Stairs;Introduction;Bare noun
2;1;3;2;0;Jerry;Introduction;Bare noun
2;1;3;3;0;Tom;Introduction;Bare noun
2;1;3;4;4;Tom;Maintenance;Whole entity CL
2;1;3;5;2;Jerry;Re-introduction;Bare noun
2;1;3;6;2;Tom;Re-introduction;Bare noun
2;1;3;7;-2;Piano;Introduction;Noun CL
2;1;3;8;1;Jerry;Re-introduction;Bare noun
2;1;3;9;4;Jerry;Maintenance;Plain verb
2;1;3;10;2;Tom;Re-introduction;Bare noun
2;1;3;11;1;Piano;Re-introduction;Whole entity CL
2;1;3;12;2;Tom;Re-introduction;Bare noun
2;1;3;13;4;Tom;Maintenance;Constructed action
2;1;3;14;2;Piano;Re-introduction;Noun CL
2;1;3;15;2;Tom;Re-introduction;Whole entity CL
2;1;3;16;5;Tom;Maintenance;SASS - Static
2;1;4;1;0;Toy house;Introduction;Bare noun
2;1;4;2;-1;Toy girl;Introduction;Bare noun
2;1;4;3;-1;Jerry;Introduction;Noun CL
2;1;4;4;2;Toy girl;Re-introduction;Bare noun
2;1;4;5;-2;Tom;Introduction;CL noun
2;1;4;6;2;Toy girl;Re-introduction;Bare noun
2;1;4;7;4;Toy girl;Maintenance;Noun CL
2;1;4;8;2;Tom;Re-introduction;Body part CL
2;1;4;9;2;Toy girl;Re-introduction;Bare noun
2;1;4;10;5;Toy girl;Maintenance;Plain verb
2;1;4;11;5;Toy girl;Maintenance;Person agreement verb
2;1;4;12;2;Tom;Re-introduction;Body part CL
2;1;4;13;4;Tom;Maintenance;Constructed action
2;1;4;14;4;Tom;Maintenance;Plain verb
2;1;4;15;5;Tom;Maintenance;Constructed action
2;1;4;16;5;Tom;Maintenance;Plain verb
2;1;8;1;1;Tom;Introduction;Bare noun
2;1;8;2;4;Tom;Maintenance;Plain verb
2;1;8;3;4;Tom;Maintenance;Constructed action
2;1;8;4;-1;Jerry;Introduction;Bare noun
2;1;8;5;4;Jerry;Maintenance;Person agreement verb
2;1;8;6;4;Jerry;Maintenance;Constructed action
2;1;8;7;5;Jerry;Maintenance;Bare noun
2;1;8;8;1;Tom;Re-introduction;Bare noun
2;1;8;9;3;Jerry;Re-introduction;Bare noun
2;1;8;10;5;Jerry;Maintenance;Person agreement verb
2;1;8;11;5;Jerry;Maintenance;Bare noun
2;1;8;12;-1;Thermometer;Introduction;Bare noun
2;1;9;1;1;Tom;Introduction;Bare noun
2;1;9;2;0;Jerry;Introduction;Bare noun
2;1;9;3;2;Tom;Re-introduction;Constructed action
2;1;9;4;2;Jerry;Re-introduction;Bare noun
2;1;9;5;4;Jerry;Maintenance;Plain verb
2;1;9;6;5;Jerry;Maintenance;Constructed action
2;1;9;7;-1;Hat;Introduction;Bare noun
2;1;9;8;-2;Needle;Introduction;Bare noun
2;1;9;9;1;Jerry;Re-introduction;Bare noun
2;1;9;10;4;Jerry;Maintenance;Constructed action
2;1;9;11;1;Tom;Re-introduction;Bare noun
2;1;9;12;4;Tom;Maintenance;Plain verb
2;1;9;13;2;Jerry;Re-introduction;Bare noun
2;1;9;14;4;Jerry;Maintenance;Bare noun
2;1;9;15;2;Tom;Re-introduction;Constructed action
2;1;7;1;0;White cat;Introduction;Bare noun
2;1;7;2;-1;Black cat;Introduction;Bare noun
2;1;7;3;0;Tom;Introduction;Bare noun
2;1;7;4;4;Tom;Maintenance;Plain verb
2;1;7;5;4;Tom;Maintenance;Body part CL
2;1;7;6;2;Black cat;Re-introduction;Bare noun
2;1;7;7;3;Tom;Re-introduction;Bare noun
2;1;7;8;5;Tom;Maintenance;Person agreement verb
2;1;7;9;5;Tom;Maintenance;Person agreement verb
2;1;7;10;5;Tom;Maintenance;Body part CL
2;1;7;11;5;Tom;Maintenance;Person agreement verb
2;1;7;12;5;Tom;Maintenance;Body part CL
2;1;7;13;1;Black cat;Re-introduction;Constructed action
2;1;7;14;4;Black cat;Maintenance;Constructed action
2;1;7;15;4;Black cat;Maintenance;Constructed action
2;1;7;16;2;Tom;Re-introduction;Constructed action
2;1;7;17;4;Tom;Maintenance;Plain verb
2;1;7;18;4;Tom;Maintenance;Plain verb
2;1;7;19;5;Tom;Maintenance;Plain verb
3;1;1;1;0;Tom;Introduction;Bare noun
3;1;1;2;-1;Jerry;Introduction;Bare noun
3;1;1;3;2;Tom;Re-introduction;Bare noun
3;1;1;4;-2;Wood;Introduction;Bare noun
3;1;1;5;3;Tom;Maintenance;Constructed action
3;1;1;6;1;Jerry;Re-introduction;Point noun
3;1;1;7;-2;Tunnel;Introduction;SASS - Tracing
3;1;1;8;3;Jerry;Maintenance;Whole entity CL
3;1;1;9;1;Tom;Re-introduction;Bare noun
3;1;1;10;4;Tom;Maintenance;Constructed action
3;1;1;11;2;Jerry;Re-introduction;Bare noun
3;1;1;12;2;Tom;Re-introduction;Bare noun
3;1;1;13;1;Tunnel;Maintenance;Whole entity CL
3;1;1;14;3;Tom;Maintenance;Bare noun
3;1;1;15;1;Jerry;Re-introduction;Bare noun
3;1;1;16;4;Jerry;Maintenance;Plain verb
3;1;1;17;2;Tom;Re-introduction;Point noun
3;1;1;18;4;Tom;Maintenance;Constructed action
3;1;1;19;4;Tom;Maintenance;SASS - Tracing
3;1;10;1;1;Jerry;Introduction;Bare noun
3;1;10;2;4;Jerry;Maintenance;Bare noun
